d_alpha,h_c,r,w_t,l_t,w_o,dxIB,gamma,d_alpha_deg,hc_mm,w_o_mm,T,TR,m_Cu,m_mag,cos_phi,VM,Temp
0.683554817419451,0.652960169005705,76.38836672406,4.87667347989535,15.9806572096451,0.252080154592435,3.95819890906415,47.9791868488714,20.5065,13.3335853693219,2.2610675151693,322.034019461574,46.4602140327235,3.4965429993511,1.63752048272794,0.600831533333216,449.306137386414,161.493855039323
0.839969705937393,0.316876627393914,66.5281444570985,5.47730552902966,21.2276892479446,0.125429603236172,-0.907076204157644,38.6050653125688,25.1991,2.80629007472692,0.981156687241932,319.186346579455,26.1642500722881,3.42244932517256,0.827422715207063,0.460322743602996,462.037012929255,163.45103636829
0.74965641900692,0.430152223302034,70.0922925339272,5.90217903363226,17.4968371503198,0.198953070416525,2.42161990096644,32.1375101075627,22.4898,6.40783256834966,1.63876271570569,365.429403437477,18.8599737156931,2.55071210006785,1.38371187461487,0.601909957255242,376.266906047959,175.349022401397
0.779947110836123,0.588121333167677,64.0970561762808,3.98320249116046,19.7116247468132,0.325026966845017,-2.71282021988572,52.7633733718576,23.3985,6.98023348740143,2.45055878949352,388.445549862167,43.6571366960753,4.05615213789211,1.55904130118069,0.687661584769284,362.526069909813,161.401494423909
0.671491424484511,0.359244843804607,61.6654008339937,6.23232003864235,21.7511195235527,0.294789327251082,1.79638865222749,57.9353099877552,20.1447,6.03982312934093,2.13915654547205,316.498500077854,43.5295845080463,2.2193540545349,0.930887965886387,0.656834577174585,265.543624973935,183.992897101909
0.801831682799959,0.623066798608345,71.4179678142807,4.39143435409783,15.5744159436566,0.158946879033721,-3.33774632784533,37.3112635847922,24.0549,7.49743904953506,1.33379877743382,390.341311260807,45.5714627940802,3.22617455864186,1.94109079420013,0.6496038666663,457.054739625592,167.213567669833
0.711712969370845,0.536343033486282,67.959415095992,4.42571684920131,19.2828948486196,0.235418704716314,5.83357798161981,41.8582711944061,21.3513,8.85382667674611,1.88074305942079,355.07641812808,33.2802747586197,3.98680086608827,1.34688096089324,0.600578501096131,345.956775112904,159.442033745326
0.768079769609371,0.49440684884496,73.8513906982141,5.10444005444073,18.0427540464761,0.371856368468432,0.967387366588327,51.2342382022692,23.0424,7.23296592658036,3.22568070918965,447.777522105843,45.9126207731207,3.71562135538121,1.72729848519419,0.723686773083456,451.559934861805,159.428002563109
0.696262494693869,0.451737825010762,67.2782226439728,3.8966335710819,15.2272301522635,0.270382875804985,1.23293025952343,40.4824859445285,20.8878,7.75060089151579,2.13860379388018,340.265763079281,57.4081933358238,3.08952960517083,1.34659285828073,0.632310058751637,325.43829208384,172.259924493742
0.827286347685568,0.515950557177776,74.7873793087847,5.79603667376867,22.0947563042898,0.105941519426185,-3.946044023483,46.1066300248766,24.8187,5.66842667300007,0.930508927994602,390.995617234829,41.7984254828947,4.43313995569771,1.76328884352444,0.638989766405883,478.953687293065,149.82503834034
